"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-08,NA,"X2","TM",13.2
2023-01-08,"15:19:00","X2","TX",15.9
2023-01-08,"01:10:00","X2","TN",9.3
2023-01-08,NA,"X2","HRM",72
2023-01-08,"23:59:00","X2","HRX",87
2023-01-08,"08:53:00","X2","HRN",59
2023-01-08,NA,"X4","TM",14.2
2023-01-08,"19:00:00","X4","TX",16.2
2023-01-08,"05:33:00","X4","TN",11.7
2023-01-08,NA,"X4","HRM",63
2023-01-08,"13:15:00","X4","HRX",77
2023-01-08,"00:12:00","X4","HRN",50
2023-01-08,NA,"X4","PM",1008.9
2023-01-08,"00:02:00","X4","PX",1013.7
2023-01-08,"17:33:00","X4","PN",1005.5
2023-01-08,NA,"X4","PPT",0.2
2023-01-08,NA,"X4","RS24h",3.3
2023-01-08,NA,"X4","VVM10",1.8
2023-01-08,NA,"X4","DVM10",269
2023-01-08,"13:59:00","X4","VVX10",6.8
2023-01-08,"13:59:00","X4","DVVX10",282
2023-01-08,NA,"X8","TM",13.2
2023-01-08,"20:38:00","X8","TX",16.1
2023-01-08,"04:38:00","X8","TN",9.9
2023-01-08,NA,"X8","HRM",68
2023-01-08,"23:57:00","X8","HRX",80
2023-01-08,"01:38:00","X8","HRN",57
2023-01-08,NA,"X8","PM",1003.2
2023-01-08,"00:00:00","X8","PX",1007.9
2023-01-08,"17:31:00","X8","PN",1000
2023-01-08,NA,"X8","PPT",0.1
2023-01-08,NA,"X8","RS24h",3
2023-01-08,NA,"X8","VVM10",1.4
2023-01-08,NA,"X8","DVM10",262
2023-01-08,"14:05:00","X8","VVX10",5.7
2023-01-08,"14:05:00","X8","DVVX10",271
2023-01-09,NA,"D5","TM",11.1
2023-01-09,"12:54:00","D5","TX",15.1
2023-01-09,"23:57:00","D5","TN",7.8
2023-01-09,NA,"D5","HRM",60
2023-01-09,"01:08:00","D5","HRX",83
2023-01-09,"13:02:00","D5","HRN",40
2023-01-09,NA,"D5","PM",968.5
2023-01-09,"22:48:00","D5","PX",975.6
2023-01-09,"01:44:00","D5","PN",962.6
2023-01-09,NA,"D5","PPT",0
2023-01-09,NA,"D5","RS24h",9.6
2023-01-09,NA,"D5","VVM10",3.3
2023-01-09,NA,"D5","DVM10",253
2023-01-09,"23:07:00","D5","VVX10",13.4
2023-01-09,"23:07:00","D5","DVVX10",320
2023-01-09,NA,"X2","TM",13.7
2023-01-09,"14:02:00","X2","TX",16.6
2023-01-09,"02:00:00","X2","TN",10.3
2023-01-09,NA,"X2","HRM",55
